WhiteElo,BlackElo,Result,Moves,OpeningName
1886,1893,0-1,"['e3', 'd5', 'd4', 'e6', 'c4', 'Nf6', 'Nc3', 'c6', 'Nf3', 'dxc4']",Van't Kruijs Opening
2462,2429,1-0,"['e3', 'e6', 'Ne2', 'c5', 'g3', 'd5', 'Bg2', 'Be7', 'O-O', 'Nf6']",Van't Kruijs Opening
2273,2214,0-1,"['e3', 'e5', 'd4', 'd5', 'dxe5', 'f6', 'exf6', 'Nxf6', 'Nc3', 'Bc5']",Van't Kruijs Opening
1894,1889,0-1,"['e3', 'Nf6', 'd4', 'd5', 'c4', 'e6', 'Nc3', 'Bb4', 'Nf3', 'O-O']",Van't Kruijs Opening
1960,1939,0-1,"['e3', 'g6', 'Ne2', 'Bg7', 'g3', 'Nf6', 'Bg2', 'd5', 'O-O', 'c6']",Van't Kruijs Opening
2091,2283,1-0,"['e3', 'c6', 'Be2', 'd5', 'Nf3', 'Nf6', 'O-O', 'Bg4', 'Ne1', 'Bf3']",Van't Kruijs Opening
1847,1908,0-1,"['e3', 'b6', 'b3', 'Bb7', 'Bb2', 'Nf6', 'Nc3', 'Nc6', 'Qe2', 'd5']",Van't Kruijs Opening
2034,2004,1-0,"['e3', 'e5', 'Nc3', 'd6', 'b3', 'f5', 'Bb2', 'Nf6', 'Be2', 'Be6']",Van't Kruijs Opening
2226,2184,1-0,"['e3', 'd5', 'g3', 'Nc6', 'Bg2', 'Nf6', 'Ne2', 'e5', 'O-O', 'Bd6']",Van't Kruijs Opening
1851,1876,1-0,"['e3', 'e5', 'c4', 'c6', 'd4', 'exd4', 'exd4', 'd5', 'Nf3', 'dxc4']",Van't Kruijs Opening
1941,1961,1-0,"['e3', 'c5', 'g4', 'd5', 'h4', 'Nc6', 'd3', 'e5', 'Nd2', 'Bd6']",Van't Kruijs Opening
1964,1883,1-0,"['e3', 'e5', 'Be2', 'Nc6', 'd4', 'e4', 'd5', 'Ne5', 'f4', 'exf3']",Van't Kruijs Opening
1905,1923,0-1,"['e3', 'b6', 'b3', 'Bb7', 'Bb2', 'e6', 'Nf3', 'Nf6', 'g3', 'Be7']",Van't Kruijs Opening
1952,2068,0-1,"['e3', 'e5', 'b3', 'g6', 'Bb2', 'Bg7', 'f4', 'd6', 'Nf3', 'Nd7']",Van't Kruijs Opening
2200,2204,0-1,"['e3', 'g6', 'd4', 'Bg7', 'c3', 'd6', 'Bd3', 'e5', 'Qc2', 'exd4']",Van't Kruijs Opening
1935,1928,0-1,"['e3', 'g6', 'b3', 'Bg7', 'Nc3', 'd6', 'Bb2', 'e5', 'Qe2', 'f5']",Van't Kruijs Opening
2243,2226,0-1,"['e3', 'd5', 'd4', 'Nf6', 'Nf3', 'c6', 'Bd3', 'e6', 'b3', 'Nbd7']",Van't Kruijs Opening
2148,2161,1-0,"['e3', 'c6', 'd4', 'd5', 'c3', 'h6', 'f4', 'e6', 'Nf3', 'Bd6']",Van't Kruijs Opening
2061,2039,1-0,"['e3', 'd6', 'd4', 'Nf6', 'c4', 'g6', 'h3', 'Bg7', 'Nf3', 'c5']",Van't Kruijs Opening
2116,2065,1-0,"['e3', 'c6', 'd4', 'd5', 'c4', 'Bf5', 'Nc3', 'Nf6', 'Qb3', 'Qb6']",Van't Kruijs Opening
2137,2177,1-0,"['e3', 'c6', 'f4', 'd5', 'd3', 'Nf6', 'Nf3', 'g6', 'd4', 'Bg7']",Van't Kruijs Opening
2088,2100,1-0,"['e3', 'b6', 'Ke2', 'Bb7', 'g3', 'e6', 'f3', 'Nf6', 'Bg2', 'Ng4']",Van't Kruijs Opening
2365,2420,1-0,"['e3', 'Nf6', 'd4', 'd6', 'Nf3', 'g6', 'Be2', 'Bg7', 'O-O', 'O-O']",Van't Kruijs Opening
2188,2138,0-1,"['e3', 'g6', 'Be2', 'Bg7', 'a3', 'd6', 'd3', 'Nf6', 'Nf3', 'O-O']",Van't Kruijs Opening
2092,2148,0-1,"['e3', 'Nf6', 'Ke2', 'g6', 'g3', 'Bg7', 'Bg2', 'O-O', 'Nf3', 'c6']",Van't Kruijs Opening
2107,2084,0-1,"['e3', 'e5', 'Nf3', 'd6', 'd4', 'f6', 'dxe5', 'dxe5', 'Qxd8+', 'Kxd8']",Van't Kruijs Opening
2362,2205,1-0,"['e3', 'c5', 'Nf3', 'Nc6', 'c4', 'e5', 'Nc3', 'd6', 'd4', 'exd4']",Van't Kruijs Opening
1827,1899,1-0,"['e3', 'c5', 'a4', 'e6', 'd4', 'Nc6', 'dxc5', 'Bxc5', 'b4', 'Be7']",Van't Kruijs Opening
2099,2455,0-1,"['e3', 'e6', 'Be2', 'd5', 'Nf3', 'Nf6', 'O-O', 'Nbd7', 'Ne1', 'b6']",Van't Kruijs Opening
2294,2497,0-1,"['e3', 'g6', 'Be2', 'Bg7', 'Nf3', 'e5', 'O-O', 'e4', 'Ne1', 'Nf6']",Van't Kruijs Opening
1852,1809,0-1,"['e3', 'e5', 'd4', 'e4', 'c4', 'c5', 'Qc2', 'Nf6', 'Nc3', 'cxd4']",Van't Kruijs Opening
1893,1967,1-0,"['e3', 'e5', 'Nf3', 'e4', 'd4', 'd5', 'Nfd2', 'f5', 'Be2', 'Nf6']",Van't Kruijs Opening
1909,1908,0-1,"['e3', 'e5', 'g3', 'd5', 'Bg2', 'Nc6', 'Ne2', 'Nf6', 'O-O', 'Bd6']",Van't Kruijs Opening
1948,1865,1-0,"['e3', 'e6', 'g4', 'b6', 'h4', 'Bb7', 'Rh2', 'h6', 'f4', 'Bb4']",Van't Kruijs Opening
2083,2032,0-1,"['e3', 'e5', 'Be2', 'd5', 'h3', 'c5', 'd3', 'f5', 'Nf3', 'Nc6']",Van't Kruijs Opening
1842,1829,0-1,"['e3', 'd5', 'c3', 'Nf6', 'd4', 'Bg4', 'Be2', 'Bf5', 'Nf3', 'e6']",Van't Kruijs Opening
2464,2397,0-1,"['e3', 'd6', 'd4', 'Nd7', 'c4', 'c5', 'Nc3', 'cxd4', 'exd4', 'Ngf6']",Van't Kruijs Opening
1857,1854,0-1,"['e3', 'd5', 'c4', 'dxc4', 'Bxc4', 'Nf6', 'd4', 'Nc6', 'Nf3', 'Bg4']",Van't Kruijs Opening
1960,1976,1-0,"['e3', 'e5', 'd3', 'Nc6', 'Qf3', 'd6', 'Qg3', 'Nf6', 'Be2', 'g6']",Van't Kruijs Opening
1904,1825,1-0,"['e3', 'e5', 'Be2', 'Nc6', 'a3', 'd5', 'b3', 'd4', 'Bb2', 'Nf6']",Van't Kruijs Opening
2440,2358,1-0,"['e3', 'd5', 'd4', 'Nf6', 'f4', 'c5', 'Nf3', 'Nc6', 'c3', 'Bg4']",Van't Kruijs Opening
1914,1948,1-0,"['e3', 'd5', 'Qe2', 'e5', 'a3', 'Nc6', 'Nc3', 'Bf5', 'Qb5', 'Nf6']",Van't Kruijs Opening
