WhiteElo,BlackElo,Result,Moves,OpeningName
2056,2203,1-0,"['d4', 'c5', 'Bg5', 'cxd4', 'Qxd4', 'Nc6', 'Qa4', 'Qb6', 'Qb3', 'Qxb3']",Benoni Defense: Old Benoni
2070,2032,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Bg5', 'd5', 'Qxd4', 'Nc6', 'Qd1', 'Nf6']",Benoni Defense: Old Benoni
2212,2245,0-1,"['d4', 'c5', 'c3', 'cxd4', 'cxd4', 'e6', 'Nf3', 'Qc7', 'Nc3', 'a6']",Benoni Defense: Old Benoni
1872,1878,1-0,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'd5', 'Be3', 'Nc6', 'Bd3', 'g6']",Benoni Defense: Old Benoni
2189,2095,0-1,"['d4', 'c5', 'Bf4', 'Nf6', 'e3', 'e6', 'Nc3', 'b6', 'Nf3', 'Bb7']",Benoni Defense: Old Benoni
2077,2127,1-0,"['d4', 'c5', 'c3', 'd5', 'dxc5', 'e5', 'b4', 'Nf6', 'Bb2', 'Nc6']",Benoni Defense: Old Benoni
2072,2071,0-1,"['d4', 'c5', 'Bf4', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'e5', 'Bg3', 'Bb4+']",Benoni Defense: Old Benoni
2065,1996,1-0,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'd5', 'c4', 'Nf6', 'Nf3', 'g6']",Benoni Defense: Old Benoni
2326,2344,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'e5', 'g3', 'Nf6']",Benoni Defense: Old Benoni
2051,2010,1-0,"['d4', 'c5', 'c4', 'cxd4', 'Qxd4', 'd6', 'Qd1', 'Nf6', 'e3', 'g6']",Benoni Defense: Old Benoni
2056,2068,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'Nf6', 'b3', 'g6']",Benoni Defense: Old Benoni
