WhiteElo,BlackElo,Result,Moves,OpeningName
2283,2312,1-0,"['d4', 'Nf6', 'e3', 'd5', 'Bd3', 'c6', 'f4', 'Bg4', 'Nf3', 'Bxf3']",Indian Defense
1974,1987,1-0,"['d4', 'Nf6', 'Nc3', 'e6', 'e4', 'Be7', 'Nf3', 'O-O', 'Bd3', 'h6']",Indian Defense
1976,1861,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'c5', 'c3', 'b6', 'Nf3', 'Bb7']",Indian Defense
1802,1870,0-1,"['d4', 'Nf6', 'Nd2', 'g6', 'e4', 'Bg7', 'c4', 'd6', 'Ngf3', 'O-O']",Indian Defense
2445,2346,1-0,"['d4', 'Nf6', 'e3', 'd6', 'Bd3', 'e6', 'Nf3', 'Be7', 'Nbd2', 'Nbd7']",Indian Defense
1967,1944,1-0,"['d4', 'Nf6', 'Nc3', 'g6', 'e4', 'd6', 'e5', 'dxe5', 'dxe5', 'Qxd1+']",Indian Defense
1967,1925,0-1,"['d4', 'Nf6', 'Bf4', 'd6', 'Nf3', 'b6', 'Nc3', 'Bb7', 'e3', 'g6']",Indian Defense
2641,2659,1-0,"['d4', 'Nf6', 'e3', 'e6', 'Nf3', 'Be7', 'Bd3', 'O-O', 'b3', 'd5']",Indian Defense
1897,1908,1-0,"['d4', 'Nf6', 'Nc3', 'd6', 'e4', 'g6', 'Bd3', 'Bg7', 'Be3', 'O-O']",Indian Defense
2238,2144,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'c5', 'Nf3', 'd5', 'Nbd2', 'Nc6']",Indian Defense
1933,1908,1-0,"['d4', 'Nf6', 'e3', 'c5', 'c3', 'cxd4', 'exd4', 'd5', 'Bd3', 'Bg4']",Indian Defense
1929,2001,1-0,"['d4', 'Nf6', 'Bf4', 'd6', 'e3', 'g6', 'Nf3', 'Bg7', 'Bd3', 'a6']",Indian Defense
2178,2144,0-1,"['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'e6', 'Nf3', 'Bd6', 'Ne5', 'c5']",Indian Defense
2136,2158,1/2-1/2,"['d4', 'Nf6', 'e3', 'g6', 'Bd3', 'Bg7', 'Nd2', 'd6', 'c3', 'O-O']",Indian Defense
1845,1805,0-1,"['d4', 'Nf6', 'e3', 'e6', 'a3', 'd5', 'b4', 'c5', 'bxc5', 'a5']",Indian Defense
2042,2041,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'd5', 'Nf3', 'c5', 'Nc3', 'Nc6']",Indian Defense
2193,2235,0-1,"['d4', 'Nf6', 'Bf4', 'd5', 'e3', 'c5', 'c3', 'Nc6', 'Nd2', 'Qb6']",Indian Defense
2164,2121,1-0,"['d4', 'Nf6', 'Nc3', 'e6', 'Nf3', 'c5', 'Bg5', 'cxd4', 'Qxd4', 'Be7']",Indian Defense
1884,1857,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'Nc3', 'Bg7', 'Nb5', 'd6', 'e3', 'a6']",Indian Defense
2152,2134,1-0,"['d4', 'Nf6', 'e3', 'd5', 'Nf3', 'c5', 'h3', 'Nc6', 'c3', 'cxd4']",Indian Defense
2139,2043,1-0,"['d4', 'Nf6', 'Bf4', 'g6', 'Nd2', 'Bg7', 'e4', 'd6', 'c3', 'O-O']",Indian Defense
