WhiteElo,BlackElo,Result,Moves,OpeningName
856,772,1-0,"['e4', 'd5', 'e5', 'e6', 'd4', 'c5', 'Nf3', 'Ne7', 'Bg5', 'f6']",Scandinavian Defense
886,866,1-0,"['e4', 'd5', 'd3', 'dxe4', 'dxe4', 'Qxd1+', 'Kxd1', 'Bg4+', 'Be2', 'Bxe2+']",Scandinavian Defense
965,1027,0-1,"['e4', 'd5', 'exd5', 'e6', 'dxe6', 'Bxe6', 'Nf3', 'Nc6', 'Nc3', 'Bc5']",Scandinavian Defense
937,942,1-0,"['e4', 'd5', 'd3', 'd4', 'Nf3', 'c5', 'c3', 'Nc6', 'c4', 'e5']",Scandinavian Defense
929,781,0-1,"['e4', 'd5', 'Bc4', 'dxc4', 'Nf3', 'Nc6', 'Ng5', 'Qd4', 'Qf3', 'Be6']",Scandinavian Defense
670,719,0-1,"['e4', 'd5', 'c4', 'dxc4', 'Bxc4', 'Qd4', 'b3', 'Qxe4+', 'Be2', 'Qxg2']",Scandinavian Defense
1068,975,0-1,"['e4', 'd5', 'Qe2', 'Nf6', 'exd5', 'Qxd5', 'Nc3', 'Qd6', 'Qb5+', 'Bd7']",Scandinavian Defense
1151,1149,1-0,"['e4', 'd5', 'e5', 'c5', 'd4', 'Bf5', 'Nf3', 'e6', 'Bb5+', 'Nc6']",Scandinavian Defense
929,968,1-0,"['e4', 'd5', 'e5', 'd4', 'Nf3', 'Nc6', 'd3', 'h5', 'b3', 'e6']",Scandinavian Defense
831,844,0-1,"['e4', 'd5', 'Qf3', 'dxe4', 'Qxe4', 'Nc6', 'Bc4', 'Nf6', 'Qf3', 'Nd4']",Scandinavian Defense
1001,978,1-0,"['e4', 'd5', 'e5', 'd4', 'f4', 'e6', 'Qg4', 'Nc6', 'c3', 'Nge7']",Scandinavian Defense
1171,1187,0-1,"['e4', 'd5', 'e5', 'd4', 'Nf3', 'e6', 'c3', 'dxc3', 'Nxc3', 'Bb4']",Scandinavian Defense
1188,1113,1-0,"['e4', 'd5', 'Nc3', 'd4', 'Nb5', 'e5', 'd3', 'c5', 'f4', 'Nc6']",Scandinavian Defense
957,876,1-0,"['e4', 'd5', 'e5', 'e6', 'd4', 'c6', 'Bd3', 'Bb4+', 'Nc3', 'Bd7']",Scandinavian Defense
934,987,0-1,"['e4', 'd5', 'Nc3', 'e5', 'exd5', 'Bb4', 'Ne4', 'Qxd5', 'Bd3', 'f5']",Scandinavian Defense
932,921,0-1,"['e4', 'd5', 'a3', 'dxe4', 'Nc3', 'Bf5', 'Bc4', 'e6', 'Nge2', 'Nc6']",Scandinavian Defense
1160,1136,0-1,"['e4', 'd5', 'd4', 'dxe4', 'Nc3', 'Nf6', 'Bg5', 'e6', 'Bxf6', 'Qxf6']",Scandinavian Defense
