WhiteElo,BlackElo,Result,Moves,OpeningName
1961,1973,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'e6', 'Be3', 'Ne7', 'Qd2', 'd6']",Modern Defense
2010,2129,0-1,"['e4', 'g6', 'd4', 'Bg7', 'c4', 'd6', 'Nc3', 'Nf6', 'Nf3', 'O-O']",Modern Defense
1882,1965,1/2-1/2,"['e4', 'g6', 'Bc4', 'f6', 'd3', 'e6', 'Ne2', 'Kf7', 'f4', 'Kg7']",Modern Defense
1882,2260,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'd5', 'e5', 'c5', 'Bg5', 'cxd4']",Modern Defense
2098,2089,0-1,"['e4', 'g6', 'f4', 'd6', 'd3', 'Nf6', 'Nf3', 'Bg7', 'c3', 'O-O']",Modern Defense
1831,1902,1-0,"['e4', 'g6', 'd4', 'Bg7', 'f3', 'd6', 'Nc3', 'Nf6', 'Be3', 'O-O']",Modern Defense
1985,2007,1/2-1/2,"['e4', 'g6', 'd3', 'd5', 'Nf3', 'dxe4', 'dxe4', 'Qxd1+', 'Kxd1', 'Bg4']",Modern Defense
2149,2130,0-1,"['e4', 'g6', 'd3', 'Bg7', 'Nc3', 'd6', 'Bd2', 'Nf6', 'Nf3', 'O-O']",Modern Defense
1898,1918,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'e5', 'd6', 'd4', 'dxe5', 'dxe5', 'Qxd1+']",Modern Defense
1835,1847,1-0,"['e4', 'g6', 'Bc4', 'Bg7', 'd3', 'e6', 'f4', 'Ne7', 'Nf3', 'O-O']",Modern Defense
1890,1890,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'c5', 'e5', 'cxd4', 'Qxd4', 'Nc6']",Modern Defense
2153,2132,0-1,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'd6', 'Be3', 'Nf6', 'h3', 'O-O']",Modern Defense
1994,2018,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Be3', 'f6', 'f3', 'Nh6', 'Qd2', 'Nf7']",Modern Defense
1863,1860,0-1,"['e4', 'g6', 'd4', 'Bg7', 'c4', 'd6', 'Nc3', 'e5', 'd5', 'c6']",Modern Defense
2128,2122,1-0,"['e4', 'g6', 'Nc3', 'Bg7', 'Nf3', 'e6', 'd4', 'Ne7', 'e5', 'O-O']",Modern Defense
2050,2080,1-0,"['e4', 'g6', 'Nc3', 'Bg7', 'Nf3', 'd6', 'd4', 'Nf6', 'Be3', 'O-O']",Modern Defense
1885,1935,1-0,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'd6', 'Nf3', 'Bd7', 'g3', 'Nf6']",Modern Defense
1915,1878,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'c5', 'c3', 'cxd4', 'cxd4', 'Qb6']",Modern Defense
1999,2046,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Be3', 'd6', 'Nc3', 'Nf6', 'Bc4', 'O-O']",Modern Defense
2066,2050,0-1,"['e4', 'g6', 'Bc4', 'Bg7', 'Qf3', 'e6', 'd3', 'c6', 'Nc3', 'd5']",Modern Defense
2026,1994,0-1,"['e4', 'g6', 'd4', 'Bg7', 'c3', 'd5', 'e5', 'c5', 'f4', 'cxd4']",Modern Defense
1945,1958,0-1,"['e4', 'g6', 'Bc4', 'Bg7', 'Nc3', 'e6', 'Bb3', 'Ne7', 'Nge2', 'O-O']",Modern Defense
1807,1811,0-1,"['d4', 'g6', 'c4', 'Bg7', 'Nc3', 'd6', 'Bf4', 'Nf6', 'e3', 'Nbd7']",Modern Defense
2119,2117,1-0,"['e4', 'g6', 'Nc3', 'Bg7', 'f4', 'e6', 'd3', 'Ne7', 'Nf3', 'O-O']",Modern Defense
2069,2139,0-1,"['e4', 'g6', 'd4', 'Bg7', 'c3', 'e6', 'Bd3', 'Ne7', 'Ne2', 'O-O']",Modern Defense
1856,1961,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'd6', 'h3', 'Nf6', 'Nc3', 'Nbd7']",Modern Defense
1988,2016,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'd6', 'Nc3', 'Nd7', 'Be3', 'e5']",Modern Defense
2120,2097,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'e6', 'Nc3', 'Ne7', 'Be3', 'd6']",Modern Defense
1861,1891,1-0,"['e4', 'g6', 'h4', 'Bg7', 'h5', 'd5', 'h6', 'Bxh6', 'Nc3', 'dxe4']",Modern Defense
1995,1993,1-0,"['e4', 'g6', 'Bc4', 'Bg7', 'd3', 'e6', 'Nf3', 'Ne7', 'O-O', 'O-O']",Modern Defense
1987,2022,1-0,"['e4', 'g6', 'f4', 'Bg7', 'Nf3', 'd6', 'd4', 'Nd7', 'Nc3', 'c5']",Modern Defense
2528,2552,1-0,"['e4', 'g6', 'c3', 'Bg7', 'Nf3', 'd6', 'Bc4', 'Nd7', 'O-O', 'e6']",Modern Defense
1893,1901,0-1,"['e4', 'g6', 'Bc4', 'Bg7', 'c3', 'c6', 'd4', 'd5', 'exd5', 'cxd5']",Modern Defense
1933,1934,0-1,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'd6', 'c3', 'Nd7', 'Bc4', 'e5']",Modern Defense
1996,2000,1-0,"['e4', 'g6', 'Nc3', 'Bg7', 'd3', 'c6', 'Nge2', 'd5', 'exd5', 'cxd5']",Modern Defense
2496,2402,0-1,"['e4', 'g6', 'd4', 'd6', 'Nc3', 'a6', 'Be3', 'b5', 'Qd2', 'Bb7']",Modern Defense
2115,2142,0-1,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'c5', 'Bd3', 'cxd4', 'O-O', 'Nc6']",Modern Defense
2413,2353,1/2-1/2,"['e4', 'g6', 'd4', 'Bg7', 'Nf3', 'c5', 'c3', 'cxd4', 'cxd4', 'd5']",Modern Defense
2277,2387,0-1,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'd6', 'Bd3', 'Bg4', 'c3', 'Bxf3']",Modern Defense
1967,1962,0-1,"['e4', 'g6', 'f4', 'Bg7', 'Nf3', 'd6', 'd4', 'Nf6', 'Bd3', 'O-O']",Modern Defense
2214,2500,1-0,"['e4', 'g6', 'Nf3', 'Bg7', 'd4', 'd5', 'e5', 'e6', 'c3', 'Ne7']",Modern Defense
