WhiteElo,BlackElo,Result,Moves,OpeningName
748,826,0-1,"['e3', 'e6', 'g3', 'd5', 'Bb5+', 'c6', 'Ba4', 'Nf6', 'f3', 'e5']",Van't Kruijs Opening
991,877,0-1,"['e3', 'g6', 'b3', 'Bg7', 'c3', 'd6', 'Bb2', 'Nc6', 'Qc2', 'Bf5']",Van't Kruijs Opening
827,829,1-0,"['e3', 'c6', 'Be2', 'd5', 'c4', 'e6', 'Qa4', 'b5', 'Qb3', 'Bc5']",Van't Kruijs Opening
929,1022,0-1,"['e3', 'e5', 'd4', 'Nf6', 'dxe5', 'Bb4+', 'c3', 'Ne4', 'cxb4', 'd6']",Van't Kruijs Opening
997,1016,1-0,"['e3', 'e6', 'd3', 'd5', 'Nf3', 'c5', 'd4', 'Nc6', 'Bb5', 'Bd7']",Van't Kruijs Opening
1099,1075,1-0,"['e3', 'e5', 'Qf3', 'Nf6', 'g3', 'c6', 'g4', 'd5', 'g5', 'Ne4']",Van't Kruijs Opening
953,1065,1/2-1/2,"['e3', 'Nc6', 'd4', 'Nf6', 'Nh3', 'd5', 'f4', 'Bxh3', 'gxh3', 'e5']",Van't Kruijs Opening
1017,733,1-0,"['e3', 'e5', 'c3', 'Nc6', 'h3', 'd5', 'd3', 'Be7', 'g3', 'e4']",Van't Kruijs Opening
1064,1016,0-1,"['e3', 'e5', 'Qh5', 'g6', 'Qxe5+', 'Qe7', 'Qxh8', 'Nf6', 'b3', 'd6']",Van't Kruijs Opening
1030,1033,0-1,"['e3', 'Nf6', 'Qf3', 'g6', 'Bd3', 'Bg7', 'Be4', 'c6', 'g4', 'd5']",Van't Kruijs Opening
1058,992,1-0,"['e3', 'e5', 'Nf3', 'Nc6', 'b3', 'Be7', 'Bb2', 'd5', 'Bb5', 'e4']",Van't Kruijs Opening
1161,1153,0-1,"['e3', 'd5', 'd3', 'e5', 'f4', 'e4', 'c4', 'exd3', 'Bxd3', 'dxc4']",Van't Kruijs Opening
1045,1037,0-1,"['e3', 'd5', 'd4', 'e6', 'Bd3', 'Nc6', 'Nc3', 'Nf6', 'e4', 'Nxd4']",Van't Kruijs Opening
1196,1186,1-0,"['e3', 'c5', 'd4', 'cxd4', 'exd4', 'Nf6', 'Nf3', 'd5', 'c4', 'Nc6']",Van't Kruijs Opening
1132,1118,0-1,"['e3', 'c6', 'b3', 'd5', 'Bb2', 'Bf5', 'Nc3', 'e6', 'Rc1', 'h6']",Van't Kruijs Opening
1001,1015,0-1,"['e3', 'e5', 'Nf3', 'Nc6', 'Bd3', 'Bc5', 'O-O', 'd6', 'h3', 'Nf6']",Van't Kruijs Opening
