WhiteElo,BlackElo,Result,Moves,OpeningName
2033,2059,1-0,"['e4', 'd6', 'd4', 'e6', 'Nc3', 'c6', 'Be3', 'Nd7', 'Qd2', 'e5']",Pirc Defense
1838,1835,0-1,"['e4', 'd6', 'd4', 'c6', 'Nc3', 'Qc7', 'f3', 'Nd7', 'Be3', 'e5']",Pirc Defense
1853,1806,1-0,"['e4', 'd6', 'd4', 'c6', 'f4', 'Bd7', 'Nf3', 'Qc8', 'Bd3', 'h6']",Pirc Defense
1988,1985,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Bd3', 'c6', 'f4', 'Bg4', 'Nf3', 'Qc7']",Pirc Defense
2120,2116,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'g6', 'Be3', 'Bg7', 'Qd2', 'O-O']",Pirc Defense
1972,1986,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'Nc6', 'Bb5', 'Bd7', 'Nf3', 'g6']",Pirc Defense
2280,2391,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'g6', 'Be3', 'Ng4', 'Bg5', 'h6']",Pirc Defense
2059,2001,1-0,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'g6', 'f3', 'Bg7', 'Be3', 'e5']",Pirc Defense
2130,2045,0-1,"['e4', 'd6', 'Nc3', 'c6', 'd4', 'Nf6', 'Be3', 'Rg8', 'Bd3', 'Bg4']",Pirc Defense
1995,1979,0-1,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'g6', 'Bc4', 'Bg7', 'O-O', 'O-O']",Pirc Defense
1999,1995,0-1,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'g6', 'f3', 'Bg7', 'Be3', 'O-O']",Pirc Defense
2119,2104,1-0,"['e4', 'd6', 'Nc3', 'g6', 'Bc4', 'Bg7', 'Qf3', 'Nf6', 'Qd1', 'O-O']",Pirc Defense
2091,2079,1-0,"['e4', 'd6', 'Nf3', 'Nd7', 'Nc3', 'c5', 'Bc4', 'a6', 'a4', 'e6']",Pirc Defense
2270,2301,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'd3', 'g6', 'g3', 'Bg7', 'Bg2', 'c5']",Pirc Defense
2107,2089,1-0,"['e4', 'd6', 'Nc3', 'Nf6', 'Nf3', 'e5', 'd4', 'exd4', 'Nxd4', 'Nc6']",Pirc Defense
1994,2018,0-1,"['e4', 'd6', 'Nc3', 'Nf6', 'd4', 'c6', 'h3', 'Nbd7', 'f4', 'Qa5']",Pirc Defense
2071,2085,0-1,"['e4', 'd6', 'Nf3', 'g6', 'h4', 'Bg7', 'h5', 'gxh5', 'Rxh5', 'Nf6']",Pirc Defense
2193,2147,1-0,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Be3', 'Nd7', 'f3', 'e6']",Pirc Defense
1960,1875,0-1,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'c6', 'Bc4', 'Bg4', 'e5', 'dxe5']",Pirc Defense
2100,2041,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'g6', 'd4', 'Bg7', 'h3', 'O-O']",Pirc Defense
1806,1811,0-1,"['e4', 'd6', 'Nc3', 'Nf6', 'd4', 'Bg4', 'Be2', 'Bxe2', 'Ngxe2', 'Nc6']",Pirc Defense
2024,2021,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'Nc3', 'e5', 'd4', 'Nbd7', 'dxe5', 'dxe5']",Pirc Defense
2044,2085,0-1,"['e4', 'd6', 'd4', 'g6', 'Nf3', 'Bg7', 'Bg5', 'a6', 'Nc3', 'b5']",Pirc Defense
1981,1947,0-1,"['e4', 'd6', 'Bc4', 'g6', 'd3', 'Bg7', 'c3', 'a6', 'Bb3', 'b5']",Pirc Defense
2053,2102,0-1,"['e4', 'd6', 'Bc4', 'Nf6', 'Qf3', 'g6', 'd3', 'Bg7', 'Nc3', 'O-O']",Pirc Defense
1831,2450,0-1,"['e4', 'd6', 'Nc3', 'c5', 'Nf3', 'e5', 'b3', 'Nf6', 'Bb2', 'Nc6']",Pirc Defense
1949,1979,0-1,"['e4', 'd6', 'd4', 'f6', 'Nc3', 'h6', 'Nf3', 'g5', 'e5', 'dxe5']",Pirc Defense
1975,1975,1-0,"['e4', 'd6', 'd4', 'g6', 'c4', 'Bg7', 'Nc3', 'Nf6', 'Bd3', 'O-O']",Pirc Defense
1808,1811,0-1,"['e4', 'd6', 'd4', 'g6', 'Nc3', 'Bg7', 'Bf4', 'a6', 'Qd2', 'b5']",Pirc Defense
2003,1988,0-1,"['e4', 'd6', 'Bc4', 'Nf6', 'd3', 'e5', 'f4', 'Be7', 'Nf3', 'Nbd7']",Pirc Defense
1999,2045,0-1,"['e4', 'd6', 'Nf3', 'Nf6', 'd4', 'Nxe4', 'Nc3', 'Nf6', 'Be3', 'g6']",Pirc Defense
1876,1913,0-1,"['e4', 'd6', 'g3', 'c6', 'Nf3', 'e5', 'Bg2', 'f5', 'd3', 'Nf6']",Pirc Defense
2234,1997,1-0,"['e4', 'd6', 'd4', 'c5', 'Nc3', 'cxd4', 'Qxd4', 'Nf6', 'Bb5+', 'Bd7']",Pirc Defense
1868,1872,1-0,"['e4', 'd6', 'Nf3', 'Nf6', 'e5', 'Bg4', 'exf6', 'Bxf3', 'Qxf3', 'exf6']",Pirc Defense
1974,1934,1-0,"['e4', 'd6', 'Nc3', 'c6', 'Qf3', 'Qc7', 'Qg3', 'e5', 'd3', 'g6']",Pirc Defense
1857,1857,0-1,"['e4', 'd6', 'Nf3', 'g6', 'd4', 'Bg7', 'Bd3', 'Bg4', 'Be3', 'Bxf3']",Pirc Defense
